Timestamp,What is your connection to the Bradenton-area?,How long have you lived in / worked in / visited Bradenton?,How often do you go to Riverwalk each month?,How did you get here today?,What brings you here instead of other parks in our area? (check all that apply),What one thing do you most enjoy about the Riverwalk?,How much time do you typically spend at Riverwalk?,How do you feel about this place?,What influenced your answer to the previous question?,What - if anything - could make Riverwalk better? ,What is your home ZIP code?,Indicate your gender,Indicate your age,Indicate your race/ethnicity,Would you like to stay in the loop with information about the Riverwalk expansion?
11/8/2017 12:45:30,I visit / vacation here,Less than a year,2-3 times a month,Lufthansa flight 0468,"Waterfront views, Walking",The scenery,1 hour or more,Strongly Positive,Nothing,"Nothing, this place is perfect",23730,Male,46-55,Caucasian,Yes
11/8/2017 12:50:48,Homeless,1-5 years,8 times or more a month,Walk,Other parks are boring or never open,Birds,1 hour or more,Somewhat positive/pleasant,Seats around the riverwalk,Bathroom,34205,Male,56-65,Caucasian,No
11/8/2017 12:56:41,I live here,More than 10 years,4-7 times a month,Drove my car,"Variety of activities, Safety, Being around other people, Close to my house, Waterfront views, Reading at a park bench here, Walking, Attending events",The peaceful views,1 hour or more,Strongly Positive,,Longer,34203,Male,56-65,Caucasian,Yes
11/8/2017 13:07:39,I work here,More than 10 years,8 times or more a month,Walk,"Close to my workplace, Waterfront views, Reading at a park bench here, Walking",The nice view and park benches,30 minutes,Strongly Positive,I can here during my lunch breaks,More park benches,34221,Male,46-55,Caucasian,No
11/8/2017 13:11:45,I work here,1-5 years,8 times or more a month,Walk,"Close to my workplace, Waterfront views, Walking",Clean close to work,1 hour or more,Strongly Positive,Nice facilities reminds me of Boston,Longer trail,33578,Male,46-55,Asian,Yes
11/8/2017 13:23:01,I live here,1-5 years,20,Bike if I got one walk if My bike wasn’t stolen as it often is.,Stay away from the nasty people just south of the area and be in a more policed civilized area,Charging my phone when I still haven’t had it stolen yet. Unless the landscaper at the skate park steals it. That was bad,1 hour or more,Neutral,Somethings are awesome some are really not .,"Cheap camping grounds so the homelse could rent cheap and not be discriminated because there are a lot of good, hard and working people  ",34201,Male,26-35,Caucasian,Yes
11/8/2017 13:26:35,I live here,6-10 years,2-3 times a month,Drove my car,"Variety of activities, Safety, Being around other people, Children's activities, Waterfront views, Reading at a park bench here, Biking, Jogging, Using the boat dock, Walking, Attending events",Walking and meeting people,1 hour or more,Somewhat positive/pleasant,Sometimes vagrants at far western portion,,34231,Female,56-65,Caucasian,Yes
11/8/2017 13:43:28,I work here,1-5 years,8 times or more a month,Walk,"Close to my workplace, Walking",The view,I just walk through,Strongly Positive,Big improvements for downtown ,,34202,Male,46-55,Caucasian,No
11/8/2017 13:52:54,I live here,1-5 years,8 times or more a month,Drove my car,"Safety, Waterfront views, Walking, Attending events",The views and nice people ,1 hour or more,Strongly Positive,Nice people. The only negative point is homeless people in the area. ,Less homeless people. ,34222,Female,56-65,Caucasian,No
11/8/2017 13:55:35,I live here,Less than a year,8 times or more a month,Walk,"Variety of activities, Being around other people, Close to my house, Close to my workplace, Waterfront views, Jogging, Walking, Attending events, Walking my dog",The views ,30 minutes,Strongly Positive,,More events ,34205,Male,18-25,African-American,No
